Nome;Idade;Peso (kg);Altura (m)
Jo∆o Vitor Duarte;06/05/1978;123.39;1.48
Luna Cunha;27/01/1965;93.92;1.72
Dra. Carolina Castro;31/01/1923;102.59;1.51
Theo Moraes;07/12/2017;70;1.81
Clarice Nascimento;07/04/2022;83.88;2.01
Gustavo Viana;08/08/2001;100.75;1.78
Cau∆ Cunha;22/12/1957;71.83;2.1
Isaac Nascimento;31/08/1943;69.55;1.85
La°s Nogueira;16/07/1904;99.9;1.63
Sophie Alves;31/05/1986;51.77;1.63
Luna Nascimento;01/08/1924;130.27;2.03
Ana J£lia Nascimento;11/06/2003;54.72;1.81
Rebeca Santos;16/12/1900;124.11;1.46
Lorena Jesus;17/10/2014;109.46;1.76
Ana Laura Monteiro;26/02/2005;140.29;1.93
Dra. Julia Costela;29/06/1943;113.74;1.77
Sra. Helo°sa Sales;09/12/1919;135.54;1.41
Jo∆o Miguel Fogaáa;23/11/1997;113.38;1.99
Leandro Fogaáa;16/03/1907;56.36;1.97
Lucca da Conceiá∆o;21/08/1904;106.61;1.51
Pedro Barbosa;30/07/1943;89.65;1.69
Marcela Almeida;21/09/1934;98.86;1.53
Theo Lopes;23/11/1951;122.1;2.05
Alexandre Silveira;12/06/1978;143.81;2.09
Sophia Barbosa;08/06/1981;108.03;1.75
Yuri Almeida;28/10/2008;81.89;1.84
Ana Vit¢ria Farias;23/03/2005;41.19;1.57
Bianca Melo;16/03/1905;103.62;1.64
Calebe Peixoto;09/12/2003;134.27;1.82
Kamilly da Paz;08/12/1952;77.33;1.72
Lucca Pinto;18/10/1922;54.83;1.62
Luiz Felipe Oliveira;15/08/1989;125.79;1.84
Enrico Pires;21/09/2024;70.69;1.76
Davi Arag∆o;30/05/1934;102.88;1.9
Matheus da Rocha;24/04/1983;75.99;1.74
Fernando Fogaáa;30/11/1985;58.24;2.08
Emanuel Martins;03/02/1927;130.97;1.92
Jo∆o Miguel Pires;04/11/1919;73.47;1.44
Levi das Neves;13/04/1911;62.09;1.92
Lorena Silva;05/11/1960;131.61;1.7
Dra. Larissa Novaes;30/04/1970;110.55;1.59
Srta. Daniela Porto;17/11/1944;92.92;1.97
Yasmin Rodrigues;11/07/1990;101.12;1.46
Ot†vio Ara£jo;01/07/1915;127.5;1.66
Jo∆o Guilherme Costa;22/06/1972;97.64;2.03
Dra. Isabel Ribeiro;03/09/1930;78.15;1.93
Sabrina da Cruz;09/04/1991;55.33;2.01
Melissa Novaes;19/09/1943;73.23;2.05
Gustavo Henrique Ara£jo;21/08/1950;109.89;1.59
Samuel Correia;22/02/1986;99.67;1.96
Ana Sophia Alves;04/07/1937;81.02;1.51
Pedro Lucas Costela;21/07/1910;148.18;1.69
Gustavo Jesus;28/03/1936;66.36;1.75
Sra. Melissa Barros;02/02/2016;49.86;2.06
Ana Beatriz Santos;17/08/1927;115.67;1.85
Pietro da Cunha;22/05/1918;109.2;1.48
Bernardo Arag∆o;30/08/1989;140.86;1.44
Arthur Rocha;25/03/1999;105.45;1.78
Benjamin Costela;30/05/1908;62.12;1.57
Gabriel Carvalho;25/01/1960;70.06;1.65
Juan Melo;16/04/1995;145.52;2.1
Sra. Julia Fernandes;03/12/1994;120.61;1.45
Fernanda da Luz;13/11/1982;136.4;2.06
Srta. Emanuelly Nascimento;11/11/2014;63.03;2.03
Leonardo Almeida;18/02/1962;117.54;1.62
Sra. Mariane das Neves;11/08/1952;57.35;1.73
Srta. Catarina Viana;17/11/1991;147.04;1.98
Ana J£lia Gonáalves;08/07/1972;110.03;1.78
Isis Azevedo;25/11/1945;56.99;1.52
Augusto Martins;22/10/2015;40.03;1.5
Thomas Vieira;20/06/1972;74.99;1.95
Yuri Ara£jo;02/10/2014;89.9;1.79
Ben°cio Ara£jo;13/04/1999;92.46;1.52
Jo∆o Guilherme Viana;13/05/1990;138.34;1.73
Stella Gomes;30/10/2006;102.23;1.82
Laura da Paz;22/11/1998;81.54;1.49
Jo∆o Guilherme Costela;25/04/1904;100.2;1.82
Gabrielly da Cunha;25/09/2019;111.88;1.56
Davi Luiz Ara£jo;01/05/1991;104.93;1.8
Nicolas Gonáalves;01/10/1947;77.06;2.01
Vinicius Freitas;01/03/1970;60.7;1.65
Gustavo Henrique da Mota;23/11/1989;41.61;1.5
Erick Duarte;21/07/1903;105.76;1.7
AndrÇ Moraes;18/12/1957;99.97;1.83
Carlos Eduardo Rodrigues;13/10/1997;133.97;1.64
Luiz Felipe Teixeira;04/09/1946;72.45;1.66
Cauà Moraes;19/04/1943;114.89;1.49
Gabriela da Paz;24/04/1981;119.37;1.52
Amanda Dias;22/12/1901;79.35;1.48
Pedro Miguel da Rocha;16/07/1945;103.12;1.62
Yuri Caldeira;12/07/1966;113.81;1.8
Vicente Santos;12/10/1990;102.76;1.69
Rodrigo da Rocha;09/09/2001;113.16;1.95
Gabriela Gonáalves;28/06/1965;118.83;2.03
Maria Dias;19/09/1902;68.5;1.95
Yago Azevedo;09/06/1939;115.51;1.51
B†rbara Nascimento;31/07/1950;50.7;1.62
Diogo Pinto;26/02/1932;48.56;1.57
Jo∆o Vitor Barbosa;09/04/1991;106.85;1.48
Paulo Ferreira;21/02/1956;136.98;1.57
Sophia Azevedo;10/07/1919;73.41;1.54
Fernando Novaes;04/10/1956;115.12;1.56
Mariane Oliveira;14/07/1938;75.71;1.76
Enzo Gabriel Duarte;01/02/1959;79.72;1.6
Ana Beatriz Nunes;27/10/1936;108.66;1.79
Thomas das Neves;18/02/1964;73.5;2
Sabrina Lopes;25/06/1956;56.82;1.95
Jo∆o Guilherme Costela;30/11/1980;147.22;2.05
Heitor Cardoso;20/11/1934;92.19;1.84
Helena Porto;08/05/1984;122.79;2.1
La°s Lopes;14/11/2010;142.84;1.86
Lucas Castro;26/02/1977;78.69;1.43
Alice Silveira;20/12/1900;137.86;1.62
Diogo das Neves;18/12/1927;135.39;1.88
Miguel Monteiro;19/10/2019;79.87;2.1
Lorena Santos;02/04/2001;118.42;1.73
Enzo Monteiro;16/06/1952;149.88;1.52
Juliana da Cunha;18/11/2002;56.66;2.06
Renan Alves;05/09/1936;125.02;1.77
Lucca Alves;02/01/1963;54.8;1.97
Marcos Vinicius Cavalcanti;29/08/2008;103.26;1.7
Alexandre Ferreira;31/03/1919;65.07;2.01
Dra. Gabrielly Freitas;31/07/1926;105.57;1.53
Ian Viana;20/10/1909;86.71;1.53
Mariana Silva;29/07/1918;142.18;1.6
Daniel Rocha;08/09/1978;107.87;1.93
Gustavo das Neves;18/09/1916;61.94;1.88
Isis da Mota;15/08/1990;104.13;2
Vitor Hugo Mendes;26/08/1978;59.08;1.48
Igor Silveira;12/12/1991;56.35;1.91
Ot†vio da Conceiá∆o;19/05/1981;47.55;1.47
Pedro Miguel Ara£jo;06/05/2019;95.27;1.86
Luiz Gustavo da Conceiá∆o;06/04/1980;77.64;1.82
Arthur Moura;25/12/1983;77.88;1.54
Carlos Eduardo Lima;21/10/1976;89.79;2.07
Sabrina Pereira;06/03/1981;135.88;1.69
Yago da Rosa;17/02/1973;143;1.71
Maysa Nunes;16/05/2013;118.84;1.51
Luiza da Paz;11/06/2015;43.82;1.7
Emanuelly da Paz;24/11/1913;63.56;1.91
Lorenzo Cardoso;18/02/2024;101.95;1.8
Luiz Ot†vio Teixeira;30/04/1967;52.97;1.84
Luiz Felipe Silveira;17/01/1983;68.57;1.98
Maria Alice Nogueira;01/08/1941;129.97;1.41
Gustavo Henrique Arag∆o;23/03/1972;141.84;1.79
Olivia Nogueira;09/09/2017;95.46;1.71
Leonardo Fernandes;18/05/1942;46.47;1.63
Ana Luiza Arag∆o;20/06/2012;89.35;1.46
Maria Vit¢ria Fernandes;23/12/1955;114.44;1.79
Enzo Pinto;27/01/1945;68.61;1.47
Clara Farias;18/04/1942;58.24;1.41
Melissa Caldeira;14/02/1935;120.05;2.03
Carolina Caldeira;23/06/1997;82.75;1.44
Cauà Caldeira;16/10/1906;99.1;2.05
Antìnio Cardoso;18/03/1924;60.35;1.45
Thomas Costela;13/12/1910;88.45;2.05
Dra. Lorena Ribeiro;09/04/2012;95.54;1.96
Ana Julia Carvalho;16/02/1982;137.6;1.52
Let°cia Gomes;11/11/1938;128.46;1.68
Diogo Almeida;17/07/1949;64.38;1.84
Francisco Teixeira;08/07/1951;91.77;1.89
Eloah Ribeiro;30/04/1933;61.24;1.54
Luiza Novaes;11/09/1983;105.04;2.04
Clara Ribeiro;06/05/1996;79.64;1.64
Pedro Lucas Almeida;15/11/1916;125.94;1.84
Nat†lia Pires;31/07/1983;48.6;1.91
Matheus Costa;06/12/1979;78.34;1.82
Diego da Paz;07/08/1932;149.77;1.87
Thales Cavalcanti;23/08/1943;137.21;2.02
Luiz Miguel Ferreira;08/05/1950;100.56;1.89
Lucca Fogaáa;23/06/1985;100.29;1.76
Enrico Moreira;22/12/2013;68.79;1.77
Renan Lima;20/10/1912;115.04;1.77
Vitor Hugo Dias;10/06/1967;68.25;1.51
B†rbara Dias;22/09/1961;89.41;1.81
Stella Fogaáa;12/05/2006;112.11;2.09
Srta. Camila Porto;22/05/1989;75.94;1.47
Rodrigo Cardoso;05/05/1980;79.76;2.05
Jo∆o Pedro Freitas;21/06/1982;141.19;1.89
Francisco Ramos;01/11/1927;71.7;2
Ana Julia Freitas;28/06/1926;64;1.7
Emanuella Azevedo;04/10/2005;144.38;1.57
Sra. Ana Beatriz da Mota;22/10/2019;58.31;1.69
Gabrielly Costa;26/07/1970;117.93;2.01
Davi Lucas Gomes;18/10/2016;49.31;1.9
Gabriel Fernandes;26/12/1966;120.14;1.78
Sra. Stella Ara£jo;21/02/1929;134.37;2
Yago Rodrigues;21/06/1904;41.34;1.73
Sophia da Luz;26/08/1913;63.83;1.54
Sabrina Vieira;04/11/1937;40.78;1.5
Maria Luiza Rodrigues;16/08/1985;75.56;1.71
Ana Luiza Ara£jo;13/08/1988;58.79;1.73
Davi Luiz Cavalcanti;07/06/1991;47.89;1.79
B†rbara Viana;18/05/1991;51.57;1.49
Renan Martins;13/03/1980;134.76;1.52
Diego Moura;25/09/1930;127.22;1.86
Ana Sophia Correia;10/07/1973;86.58;1.85
Diego Cunha;27/04/1930;135.68;1.58
Jo∆o Silva;15/05/2000;80.48;1.75
Raquel Moura;27/03/1920;84.34;1.69
Isaac Moura;26/09/1924;136.82;1.85
Luna Costa;12/08/2016;79.87;1.57
Bianca da Paz;22/02/2020;109.13;1.69
Catarina Barros;20/09/1933;108.04;1.88
Maria Vit¢ria Santos;10/09/1913;73.94;2.1
Luiz Henrique Jesus;17/11/1971;61.3;1.65
Dra. Vit¢ria Nunes;29/11/1998;107.71;1.61
Marina da Mata;17/08/2010;134.67;1.64
Bernardo Souza;25/05/1902;62.58;1.63
Ana L°via das Neves;02/12/1918;45.24;1.6
Yago da Conceiá∆o;22/08/1935;75.52;1.75
Cau∆ da Cunha;15/07/1945;50.45;1.45
Srta. Eduarda Vieira;27/05/1927;107.36;1.54
Manuela Gomes;09/08/1984;137.67;1.55
Sra. Alexia Nogueira;31/07/2005;135.92;1.51
Gustavo Henrique Cavalcanti;18/07/1961;109.3;1.48
Erick Nascimento;09/05/1955;113.82;1.57
Luiz Henrique Caldeira;08/11/1980;64.96;1.77
Dra. Luna Correia;06/09/1908;117.07;1.94
Theo Cardoso;27/04/2013;40.27;1.96
Srta. Sabrina Ara£jo;15/07/1980;106.04;1.57
Ana Carolina Martins;18/01/1930;94.22;1.61
Renan Ribeiro;10/08/1988;137.76;1.57
Vicente da Rosa;27/06/2002;55.76;1.62
Felipe Gomes;07/10/2020;110.99;1.67
Rodrigo Nunes;07/04/1954;115.53;1.53
Davi Lucca Ramos;28/01/2018;90.93;1.52
Vitor Hugo da Mota;30/03/1942;92.67;1.63
Alana Moreira;11/08/1909;96.38;1.53
Mariana Costa;07/08/1946;86.67;1.63
Murilo Viana;10/05/1911;88.22;1.96
Antìnio Barros;14/10/2007;122.52;1.71
Vitor Silva;17/03/1961;54.94;1.81
Rodrigo Costela;17/02/1934;129.88;2.07
Melissa Gonáalves;20/09/1901;82.49;1.44
Laura Viana;11/09/2012;107.11;1.64
Ian Vieira;05/09/1901;72.53;1.95
Francisco Gomes;07/04/1911;84.84;2
Mariana da Cunha;15/07/1919;134.91;1.67
Danilo Moura;17/04/1993;86.95;1.91
Manuela Vieira;14/01/1951;68.69;1.8
Davi Lucas da Mota;16/07/1957;52.01;1.49
Stephany Duarte;08/01/1902;77.93;1.97
Jo∆o Martins;14/11/1916;111.86;1.74
Ben°cio Pires;14/09/1954;52.88;1.99
Eduardo Ramos;15/04/1972;48.5;1.52
Laura da Paz;28/12/1975;44.85;1.78
Luiz Henrique Carvalho;03/07/1980;86.28;1.45
Gabrielly Carvalho;05/01/2006;82.53;1.46
Gustavo Henrique Novaes;19/05/1945;85.93;1.65
Sra. Vit¢ria Cardoso;15/08/1956;123.57;2.09
Carolina Ribeiro;07/09/2013;72.88;1.81
Sra. Ana Freitas;18/12/1917;92.77;1.92
Kaique Freitas;15/01/2001;95.07;1.69
Sophie Viana;20/10/2003;45.44;1.7
Thiago Ramos;18/07/1987;43.08;2.04
Rafael Farias;17/12/1993;105.29;1.58
Rodrigo Dias;14/11/1918;123.33;1.97
Rafaela Ara£jo;09/12/1993;84.78;2.03
Carlos Eduardo Novaes;28/07/1909;128.47;1.55
Anthony da Cunha;30/04/1918;136.38;1.66
Vitor Gabriel Costela;12/07/2018;93.38;2.07
Valentina Silva;23/12/1995;107.52;1.84
Laura Dias;17/03/1923;120.1;1.74
Juan Porto;31/08/1982;47.72;2.08
Bruna Freitas;28/11/1940;118.45;1.59
Sophia Costela;06/05/1940;128.79;1.99
Lucas Gabriel Pires;27/04/2003;129.48;1.63
Luiza da Mata;23/07/1998;121.78;1.91
Pedro Miguel da Paz;04/06/1934;98.57;1.77
Laura Novaes;13/04/1974;102.69;1.44
Maria Vit¢ria Cardoso;28/09/1910;140.73;1.86
Agatha Oliveira;03/01/1947;141.83;1.55
Leandro Sales;07/03/1971;56.16;1.79
Gabriel Silva;17/10/1909;138.42;2.07
Alana Gomes;27/03/1990;96.26;1.83
Giovanna Barros;02/01/1967;139.01;1.67
Leonardo Rezende;10/05/2009;94.85;1.79
Raul Arag∆o;31/01/1934;43.31;1.54
Lucas Gabriel da Cunha;03/04/1997;90.88;2.04
Vit¢ria Nascimento;08/09/1919;92.26;1.69
Sra. Isabelly Mendes;07/12/1938;65.11;1.48
Jo∆o Miguel Cavalcanti;04/03/2013;149.52;1.58
Giovanna da Luz;18/09/1997;149.42;1.52
Alexia Cardoso;07/03/1990;77.17;2
Benjamin Arag∆o;10/06/1979;84.4;1.86
Jo∆o Miguel Fogaáa;24/09/1931;48.36;1.78
Danilo Monteiro;13/09/1963;102.52;2.1
Raquel Melo;04/03/2023;59.39;1.8
Breno Rocha;29/06/2019;132.86;1.82
Carlos Eduardo Sales;07/07/1992;81.94;1.85
Brenda Jesus;16/05/1958;115.1;1.69
Davi Luiz da Mata;04/09/1997;78.81;1.79
Lucas Porto;11/07/1990;80.32;1.83
Thiago Pires;25/08/1956;48.33;2.1
Fernanda da Paz;18/11/2018;130.01;1.59
AndrÇ da Mata;14/12/1921;113.95;1.69
Isadora Farias;10/11/1915;104.96;1.57
Srta. Maria Julia Pires;16/07/1989;125.33;1.43
Clara Costa;26/02/1938;139.3;2.1
Francisco Fogaáa;10/11/1929;94.49;1.92
Lucas da Conceiá∆o;05/01/1923;83.66;1.69
Yasmin Rezende;06/03/1945;110.61;1.62
Murilo Sales;24/03/2012;140.84;1.98
Helena Lima;06/05/1943;148.23;1.98
Helena Rodrigues;29/12/1923;146.71;1.7
Murilo Ara£jo;09/03/1928;60.34;1.55
Caio da Paz;17/10/2000;95.16;1.83
Gabrielly Costa;19/02/1911;89.07;1.74
Caio da Rocha;06/12/1967;80.27;1.7
Maria Vit¢ria da Conceiá∆o;21/08/1964;105.49;2.02
Lorena Oliveira;13/04/1950;66.95;1.62
Julia Duarte;15/11/2020;113.57;1.45
Yasmin Peixoto;01/06/1995;94.07;1.88
Dra. Lav°nia Sales;12/10/1951;107.06;1.72
Cau∆ Lima;14/01/1936;106.6;1.84
Thales Correia;01/01/1930;75.13;2.07
Raul Sales;06/09/2010;146.3;1.75
Leonardo Ara£jo;11/01/1963;66.15;2.05
Let°cia Fogaáa;24/04/2003;113.94;1.72
Luiz Ot†vio Costa;21/08/1914;64.08;1.6
Leandro da Mata;12/06/2022;144.5;1.64
Levi Mendes;10/06/1936;48.5;2.02
Ana Laura Arag∆o;30/09/1906;79.83;1.49
Luiz Ot†vio Rodrigues;17/07/1964;47.24;1.98
Julia Santos;17/01/2016;96.63;1.98
Raquel Freitas;05/07/1909;145.81;1.99
Marcela Monteiro;03/08/1984;93;1.86
Alice da Cunha;12/03/1939;114.42;1.79
Francisco das Neves;05/02/1988;89.31;1.76
Caroline Alves;02/12/1970;138.96;1.59
Maria Julia Melo;29/03/2001;129.02;1.94
Srta. Marcela Melo;07/05/2010;101.78;1.92
Sra. Maria Alice Novaes;01/09/1992;71.08;1.96
Nathan Nascimento;24/12/1973;89.11;1.78
Maria Fernanda Farias;17/04/1963;124.6;1.98
Maria Fernanda Rocha;07/03/2000;62.06;2.07
Ana Vit¢ria Carvalho;06/01/1954;61.3;1.59
Fernanda Rodrigues;13/12/1911;85.44;1.58
Isadora Rodrigues;02/04/1998;62.55;1.89
Vitor Hugo Nogueira;14/02/1929;116.11;1.64
Larissa da Rosa;04/07/1974;75.28;2.09
Yago Cavalcanti;02/05/2003;149.29;1.96
Sra. Cec°lia Nascimento;25/05/1999;125.17;1.56
Sabrina da Conceiá∆o;09/01/1908;106.89;1.77
Isabel Ribeiro;13/02/1956;101.51;1.78
Lara Castro;05/11/1953;111.63;1.66
Jo∆o Cardoso;04/06/2003;44.8;1.4
Vitor Gomes;29/10/2012;61.17;2.02
Bryan Lima;06/02/1979;120.21;1.65
Fernanda Rodrigues;26/05/1951;78.38;1.76
Emanuelly Gonáalves;30/06/1917;57.09;1.72
Eduarda Silveira;01/02/1990;129.19;1.61
Alexandre Martins;29/06/1998;57.82;1.81
Levi Rocha;02/12/2016;131.51;1.63
Clarice Correia;22/10/1997;148.18;1.77
Lucca da Paz;10/10/1908;92.67;1.42
Kevin Dias;17/06/1964;133.75;1.91
Levi Alves;10/07/1988;66.84;2
Luigi Ramos;25/09/2022;134.8;1.52
Lucas Gabriel Campos;26/02/1957;128.63;2.07
Daniel da Luz;02/09/1924;135.41;1.86
Rebeca da Mata;21/03/1952;105.98;1.56
Jo∆o Miguel Souza;06/03/2007;77.5;1.76
Benjamin Cardoso;07/02/2013;100.79;2.04
Lorena Ribeiro;24/01/1921;127.63;2.01
Sra. Yasmin Fernandes;01/10/1957;125.06;1.52
Jo∆o Miguel Moreira;01/02/1900;134.27;1.87
Gustavo Henrique Alves;08/02/1905;128.42;1.6
Pietra Farias;23/05/1925;73;1.51
Nina Barros;13/12/2014;125.65;1.91
Diogo Vieira;29/06/1965;141.54;1.44
Sarah Carvalho;11/04/1992;75.65;2.07
Jo∆o Lucas Moreira;10/10/2019;103.66;1.89
Larissa Fernandes;16/10/2010;90.56;1.47
Henrique Barbosa;16/08/1979;48.97;1.49
Pietra da Rosa;22/08/1952;67.84;2
Luiz Fernando Dias;15/10/1973;58.85;1.87
Enzo Gabriel da Mota;14/01/1989;139.17;1.7
Juan das Neves;25/04/1983;135.48;1.8
Theo da Cunha;24/04/1951;80.16;1.71
Luna Ferreira;22/11/2019;53.72;1.77
Kevin Nascimento;21/05/1938;84.15;1.75
Al°cia Gomes;11/11/1910;128.57;1.92
Isis Pinto;03/07/1977;44.3;1.93
Helo°sa Melo;29/09/1972;69.54;1.73
La°s Vieira;10/01/2007;97.14;1.58
Rodrigo Rodrigues;14/10/2022;122.36;2.05
Lucas Gabriel Ribeiro;31/07/2017;94.03;2.04
Dra. Ana J£lia Rezende;16/03/1958;106.34;1.99
Jo∆o Miguel Porto;11/11/1901;129.77;1.49
Marcos Vinicius Nogueira;04/11/1918;96.09;1.98
Bruna Santos;29/09/1910;54.19;1.68
Isis Souza;16/03/1974;139.63;1.63
Leandro Lopes;16/10/1947;85.3;1.58
Helo°sa Caldeira;11/12/1931;88.73;2.06
Stella da Conceiá∆o;27/05/1923;115.29;2.07
Marcela Ribeiro;19/06/1991;78.31;2.09
Juliana Nascimento;08/10/1998;145.51;1.46
Vitor Gabriel Rocha;31/08/2007;60.33;1.67
Ana L°via Gonáalves;11/06/1956;118.63;1.69
Giovanna Rezende;02/06/1924;123.73;2.02
Renan Duarte;03/02/1934;56.94;2.04
Isabella Cunha;01/12/1934;82.63;1.48
Dra. Maria Luiza Campos;20/10/2001;125.42;1.59
Nathan Lopes;08/12/1998;61.45;1.85
Alice Caldeira;16/05/2013;139;1.4
Carlos Eduardo Ribeiro;02/06/1953;71.8;2.03
Vicente Peixoto;13/12/1983;104.91;1.93
Sabrina Almeida;08/01/1957;55.72;1.54
Sra. Isabel Ramos;04/08/1992;90.31;1.5
Juliana Vieira;25/03/1913;42.64;1.86
Helo°sa Pereira;12/01/1965;148.36;1.8
Marina Oliveira;29/10/2022;90.2;1.75
Gustavo Nunes;27/01/1947;118.67;2.04
Marcos Vinicius Lopes;05/02/2023;52.08;1.52
Lorena Rodrigues;26/11/1922;121.71;2.08
Jo∆o da Mota;14/08/1930;120.43;1.73
Dra. B†rbara Pires;10/05/1967;116.7;1.87
Luna Moura;05/03/1982;100.56;2
Maria Vit¢ria Nunes;05/09/1963;54.22;2.09
Miguel Lopes;24/12/2009;122.23;1.41
Manuela da Rosa;03/12/2012;71.42;1.61
Eduarda Duarte;14/11/1962;142.48;1.83
Luiz Henrique da Luz;29/12/1908;144.72;1.43
Cau∆ da Conceiá∆o;22/02/1989;82.54;1.59
Vinicius Cardoso;06/12/1961;56.11;1.54
Maria Clara Carvalho;28/05/1949;148.25;1.85
Henrique Lopes;09/11/1999;145.2;1.42
Vicente Alves;16/08/2001;89.42;1.44
Milena Barbosa;12/02/1954;104.86;2.06
Felipe Viana;25/11/2021;95.35;1.56
Augusto Sales;15/11/1961;90.51;1.73
Srta. Stephany Santos;07/06/1907;106.68;1.45
Lorenzo Viana;16/07/1979;61.66;1.62
Levi Azevedo;22/10/1990;45.88;1.48
Lucca Farias;03/05/1944;95.74;1.43
Maria Silveira;02/03/1922;97.95;1.47
L°via Nogueira;30/12/2013;139.79;1.7
Joana Carvalho;29/08/2015;63.75;1.91
Juliana Porto;02/07/1968;59.98;1.73
Cau∆ da Cruz;28/07/1976;95.7;1.98
Emanuelly Arag∆o;22/06/1928;91.29;1.86
Rebeca Costela;01/11/2003;83.22;1.63
Joaquim Porto;11/03/1913;82.17;1.66
Nathan Farias;22/08/1924;65.65;1.92
Bernardo da Rosa;05/04/2015;98.85;1.93
Srta. Isabelly Castro;28/11/1937;114.89;1.68
Jo∆o Miguel Barbosa;16/01/1921;133.53;1.84
Carlos Eduardo Nunes;05/09/2002;129.24;1.66
Thomas Porto;12/04/2011;60.39;1.64
Alexandre Ribeiro;27/12/1924;57.17;1.64
Isadora Lopes;02/06/2020;114.95;1.68
Sra. Emilly Melo;22/02/1953;99.88;1.43
Bianca da Mota;17/09/1922;54.92;2.03
Mariana Duarte;17/09/1943;56.66;1.43
Danilo Correia;09/03/2007;131.78;1.71
Lorenzo Duarte;17/03/1991;51.07;1.76
Renan Moura;21/08/1911;54.18;1.5
Bryan Carvalho;22/05/1952;65.68;1.99
Erick Ramos;22/10/2010;83.75;1.97
Rodrigo Pires;17/10/1999;86.14;2.07
Agatha Lopes;14/11/2024;121.26;2.02
Gabriel Pinto;24/04/1954;139.11;1.69
Mariane Ara£jo;22/02/1983;50.52;1.8
Vinicius da Paz;20/10/2010;72.59;1.96
Maria Alice Viana;01/01/2013;61.19;1.47
Francisco Peixoto;08/09/1945;42.68;2.02
Isis Pinto;11/02/2012;123.99;1.44
Eduarda Cardoso;14/02/1911;146.03;1.71
Maria Julia Nunes;12/02/1906;111.44;1.81
Mariane Peixoto;25/10/1995;59.96;1.93
Jo∆o Lucas Rodrigues;29/01/1916;124.72;1.89
Gabriel Alves;20/03/1962;70.27;1.71
Olivia Fogaáa;10/08/1944;79.98;1.61
Felipe Santos;01/11/1921;148.83;2.08
Maria Luiza Santos;31/12/1936;124.49;1.43
Vinicius Freitas;27/08/1976;147.64;1.95
Julia Correia;18/02/2006;142.91;1.56
Isabella Nogueira;30/07/1956;101.48;1.86
Dra. La°s Alves;06/04/2023;70.58;1.83
Valentina Barbosa;11/03/1994;52.27;1.81
Maria Alice Nunes;14/07/2024;121.72;1.87
Cauà Castro;09/12/1910;58.21;1.64
Isis Rocha;10/03/1970;77.16;1.62
Theo Novaes;17/01/1978;46.79;1.6
Maysa Correia;01/08/1976;87.29;1.61
Calebe Moraes;04/01/2012;136.34;2.07
Sra. Ana Julia Alves;08/06/1921;68.07;1.44
Bianca Correia;11/04/1955;132.55;1.74
AndrÇ Novaes;28/10/1941;107.13;1.53
Maria Luiza Nunes;15/07/2012;66.82;1.41
Ana Castro;10/06/1979;116.38;1.63
Milena Barbosa;23/03/2004;44.29;1.92
Brenda Freitas;31/05/2004;94.62;1.76
Caroline Peixoto;01/11/1904;62.37;1.55
Rodrigo Rezende;04/10/1985;145.96;1.95
Maria Clara Almeida;09/07/1971;84.31;1.71
Theo Rodrigues;25/04/1902;46.85;1.77
Evelyn Rocha;25/12/1993;76.07;2.02
Bernardo Rocha;07/10/2002;135.18;2.02
Theo Moura;05/08/1975;61.4;1.74
Diogo Carvalho;05/10/1924;94.68;1.93
Calebe Souza;18/05/1935;129.34;1.65
Cec°lia Moreira;03/04/1978;138.05;1.75
Nicole Pereira;12/04/1935;116.09;1.66
Leandro Cunha;11/06/1993;43.83;1.85
Ana Beatriz da Paz;07/08/1902;102.25;2.03
Pedro Lucas Oliveira;19/02/1929;50.8;1.76
Dra. Maria Luiza Silveira;15/03/1995;117.43;1.47
Bryan Viana;13/12/2014;68.61;1.68
Levi Carvalho;04/01/2007;148.11;1.83
Laura Alves;03/02/2017;46.35;1.71
Leandro Ramos;26/12/1932;107.2;1.71
Levi Oliveira;06/01/1902;45.89;1.68
Nat†lia da Conceiá∆o;10/09/1920;104.9;1.62
Theo Mendes;26/05/1951;74.56;1.62
Ben°cio Fogaáa;23/02/2024;82.22;1.67
Enrico Rodrigues;26/08/1929;74.96;2.1
Brenda Sales;20/06/2020;77.5;1.74
Emanuel Teixeira;22/04/1992;58.38;1.61
Brenda Pereira;23/03/1965;56.64;1.8
Bianca Moraes;20/04/1909;143.02;1.41
Maysa Souza;05/02/1963;63.08;2.02
Kamilly Barros;01/08/1915;71.01;1.57
Dra. Sarah Viana;01/07/2024;45.45;2.07
Ana Luiza Azevedo;07/11/1949;106.08;1.64
Jo∆o Guilherme Pinto;08/12/1938;55.14;1.68
Milena Souza;08/12/1930;57.62;1.62
Joana Arag∆o;12/08/1922;53.99;1.48
Heitor Ribeiro;28/02/1995;40.6;2.06
Let°cia Correia;06/09/2017;68.06;1.61
Joaquim Monteiro;26/02/1956;83.16;2.07
Matheus Vieira;26/02/2012;141.63;1.93
Sofia Cardoso;27/09/2013;144.32;1.76
Francisco Carvalho;16/10/1904;66.4;1.51
Davi Santos;12/10/1960;136.44;1.68
Kevin Oliveira;01/09/1905;92.58;1.8
Kevin Vieira;01/09/2017;90.05;1.56
Larissa da Paz;07/02/1903;68.67;1.81
Caio Ferreira;20/08/1912;132.15;1.53
Beatriz Carvalho;29/04/1907;115.07;2.06
B†rbara da Rocha;28/03/1992;63.34;1.89
AndrÇ Moura;13/03/1974;129.63;1.74
Davi Lopes;05/05/2019;80.26;2.04
Gabriela Melo;23/01/1915;47.18;1.64
